,y,x,vel_change_bee_non_focal,count
0,0,0,0.07191762954672706,2719849.0
1,0,1,0.07598485631253525,2493759.0
2,0,2,0.07970209520402605,2307318.0
3,0,3,0.08326117644162398,2169396.0
4,0,4,0.08717963686898945,2071188.0
5,0,5,0.08975040169665853,2007894.0
6,0,6,0.09248991213767506,1976762.0
7,0,7,0.09537293167191468,1977489.0
8,0,8,0.09698470938467431,2016756.0
9,0,9,0.09761093857994514,2117937.0
10,0,10,0.09742470813586696,2302831.0
11,0,11,0.09728687361384591,2588240.0
12,0,12,0.09657278481522417,2944817.0
13,0,13,0.09560317724005131,3341676.0
14,0,14,0.09497408869565165,3746251.0
15,0,15,0.09397692221213315,4110919.0
16,1,0,0.07049581286499654,2292508.0
17,1,1,0.07434663259004919,1984907.0
18,1,2,0.0782118865302691,1732810.0
19,1,3,0.08131062191640843,1541256.0
20,1,4,0.08501914715830995,1400272.0
21,1,5,0.08802672368233427,1298849.0
22,1,6,0.0917489852440008,1236123.0
23,1,7,0.09393776167765394,1210306.0
24,1,8,0.09776136514549698,1233150.0
25,1,9,0.09874801318571286,1320964.0
26,1,10,0.0988660920970822,1502226.0
27,1,11,0.09992755979038835,1805788.0
28,1,12,0.09834250909448226,2220994.0
29,1,13,0.09697412456961277,2722109.0
30,1,14,0.09591117878868363,3267298.0
31,1,15,0.0951986081222351,3790727.0
32,2,0,0.06730849039272002,1927297.0
33,2,1,0.0712331948588504,1562753.0
34,2,2,0.07506386792923325,1269053.0
35,2,3,0.0779140327139854,1044472.0
36,2,4,0.08032379316465449,876777.0
37,2,5,0.0837507570748218,751641.0
38,2,6,0.08783196979939743,663855.0
39,2,7,0.09103673015375247,617038.0
40,2,8,0.09670396225568127,621422.0
41,2,9,0.0973049527263069,690313.0
42,2,10,0.09883045131774872,852383.0
43,2,11,0.10014245484873908,1142704.0
44,2,12,0.09860653335150711,1590452.0
45,2,13,0.09690309109875099,2169367.0
46,2,14,0.09572629243067923,2824404.0
47,2,15,0.09571294138287331,3465929.0
48,3,0,0.06601809809648286,1705847.0
49,3,1,0.06846158307579744,1313564.0
50,3,2,0.07143213469547327,1000765.0
51,3,3,0.07363024669746172,765389.0
52,3,4,0.07352847653298913,590110.0
53,3,5,0.07783324546662082,457521.0
54,3,6,0.07951100853627802,361061.0
55,3,7,0.08438703286059962,302254.0
56,3,8,0.09317329466762689,290595.0
57,3,9,0.09783169166015106,338443.0
58,3,10,0.09752175052974092,474916.0
59,3,11,0.10036047863359786,744874.0
60,3,12,0.09873232089903859,1197098.0
61,3,13,0.09680604184379639,1818259.0
62,3,14,0.09534144339793788,2534781.0
63,3,15,0.09511600504966346,3244205.0
64,4,0,0.06526407209809262,1655006.0
65,4,1,0.06878150839525195,1255110.0
66,4,2,0.07111411252688309,937325.0
67,4,3,0.07298733540836048,698116.0
68,4,4,0.07395216087298345,521220.0
69,4,5,0.07552888865592797,385718.0
70,4,6,0.076166923710697,284711.0
71,4,7,0.08002920824443632,220022.0
72,4,8,0.09006426278160361,197385.0
73,4,9,0.09603032429478224,233236.0
74,4,10,0.09974372679281554,356950.0
75,4,11,0.10065437811014252,616723.0
76,4,12,0.09960091829348167,1064441.0
77,4,13,0.09830384093003364,1702866.0
78,4,14,0.09634829079662874,2439385.0
79,4,15,0.09534562816508614,3166674.0
80,5,0,0.06659956455068056,1774343.0
